company,Total_Jobs,Unique_Roles,Locations,Job_Percentage
Meta,70,14,18,6.83
Netflix,31,30,7,3.02
Amazon,18,11,8,1.76
Google,16,10,7,1.56
****,14,7,10,1.37
********,8,8,5,0.78
TikTok,8,6,4,0.78
AARATECH,8,2,6,0.78
Handshake,7,4,1,0.68
*****,7,4,7,0.68
Deloitte,6,5,3,0.59
Uplers,6,4,2,0.59
Spotify,6,6,3,0.59
PepsiCo,6,3,4,0.59
JPMorganChase,6,6,5,0.59
FanDuel,6,5,2,0.59
Experian,5,5,3,0.49
******,5,5,5,0.49
PyjamaHR,5,1,5,0.49
Pinterest,5,2,4,0.49
Blueprint,5,1,5,0.49
Ford Motor Company,4,4,2,0.39
Shopee,4,4,3,0.39
EY,4,3,3,0.39
COLSA,4,4,4,0.39
Virtusa,4,4,3,0.39
LinkedIn,4,4,3,0.39
Foley,4,1,4,0.39
*******,4,4,4,0.39
INSPYR Solutions,4,2,3,0.39
DoorDash,4,2,4,0.39
foodpanda,4,3,3,0.39
Kforce Inc,4,4,4,0.39
LTIMindtree,4,2,4,0.39
Lensa,4,4,4,0.39
Microsoft,4,2,3,0.39
NielsenIQ,4,4,4,0.39
Petco,4,3,3,0.39
*** *****,3,2,1,0.29
Cognizant,3,3,2,0.29
Docusign,3,2,2,0.29
CGI,3,3,2,0.29
*********,3,1,3,0.29
ASOS.com,3,2,1,0.29
Notion,3,3,2,0.29
OGC Global,3,2,2,0.29
Chubb Life New Zealand,3,1,3,0.29
KPMG India,3,3,3,0.29
Elder Research,3,2,2,0.29
PwC India,3,3,2,0.29
Citi,3,3,2,0.29
Roku,3,2,3,0.29
Ericsson,3,3,3,0.29
Ascendion,3,2,2,0.29
The Walt Disney Company,3,3,2,0.29
***,3,3,1,0.29
Insight Global,3,2,3,0.29
Twitch,3,2,2,0.29
ExxonMobil,3,2,2,0.29
Lyft,3,3,1,0.29
Walgreens,3,2,1,0.29
Walmart,3,3,1,0.29
Thomson Reuters,3,1,2,0.29
Ibotta,2,2,1,0.2
Cisco,2,1,2,0.2
"HRCap, Inc.",2,1,1,0.2
Helios,2,1,1,0.2
Instagram,2,1,2,0.2
American Express,2,2,2,0.2
Coca-Cola HBC,2,2,1,0.2
AppFolio,2,1,2,0.2
Infosys,2,2,2,0.2
JAMY INTERACTIVE,2,2,1,0.2
Dentsply Sirona,2,2,1,0.2
John Deere,2,2,1,0.2
Jubilant FoodWorks Ltd.,2,1,1,0.2
NVIDIA,2,1,2,0.2
Keurig Dr Pepper Inc.,2,1,1,0.2
Colliers,2,2,2,0.2
Assurances Crédit Mutuel,2,2,1,0.2
La Fosse,2,1,2,0.2
Largeton Group,2,2,2,0.2
Calm,2,2,1,0.2
Discord,2,2,1,0.2
Lockheed Martin,2,2,2,0.2
Atlassian,2,1,1,0.2
Mercedes-Benz Malaysia,2,2,1,0.2
Exiger,2,1,2,0.2
Authentic Brands Group,2,1,2,0.2
"Mission Technologies, a division of HII",2,2,1,0.2
Neostella,2,1,2,0.2
Neotalent Conclusion,2,1,2,0.2
Capgemini,2,2,2,0.2
Explore Group,2,1,1,0.2
Nike,2,1,1,0.2
24 Hour Fitness,2,2,2,0.2
Numero Data,2,2,2,0.2
Banco Bradesco,2,2,2,0.2
Oakley,2,2,1,0.2
Oracle Database,2,1,1,0.2
PT Indofood CBP Sukses Makmur Tbk - Noodle Division,2,1,1,0.2
Palo Alto Networks,2,2,1,0.2
PayPal,2,2,2,0.2
Cedar,2,2,1,0.2
CenterPoint Energy,2,2,2,0.2
Hays,2,2,2,0.2
PointClickCare,2,2,2,0.2
PwC Acceleration Centers,2,2,1,0.2
Crypto.com,2,2,2,0.2
ICICIDirect,2,2,1,0.2
Quizlet,2,2,2,0.2
Recro,2,2,1,0.2
Redwood Materials,2,1,2,0.2
Rivian,2,2,2,0.2
Abbott,2,2,2,0.2
S&P Global,2,1,2,0.2
Crédit Mutuel Méditerranéen,2,2,1,0.2
Sicoob,2,1,1,0.2
Snap Inc.,2,1,2,0.2
Sony Interactive Entertainment,2,2,2,0.2
Checkout.com,2,2,1,0.2
StreetID,2,2,1,0.2
Stripe,2,1,2,0.2
Swinerton,2,1,2,0.2
Tata Consultancy Services,2,2,2,0.2
Tech Consulting,2,2,2,0.2
Thales,2,2,2,0.2
Chenega Corporation,2,1,1,0.2
Aditi Consulting,2,2,2,0.2
Adobe,2,1,2,0.2
Toyota North America,2,2,1,0.2
Chewy,2,1,2,0.2
UPS,2,2,2,0.2
Unknown Company,2,2,1,0.2
Blinq,2,2,2,0.2
Fanatics,2,1,1,0.2
Cinepolis Corporativo,2,2,2,0.2
Enlighten,2,2,1,0.2
FinThrive,2,2,1,0.2
iFood,2,1,2,0.2
Avant-garde Health,1,1,1,0.1
Aviture,1,1,1,0.1
Avnet,1,1,1,0.1
BBC,1,1,1,0.1
BCD,1,1,1,0.1
BOX8,1,1,1,0.1
Bamboo Health,1,1,1,0.1
Banco Falabella Chile,1,1,1,0.1
Banco Sabadell,1,1,1,0.1
Banco de Crédito BCP,1,1,1,0.1
Banque Misr,1,1,1,0.1
Barstool Sports,1,1,1,0.1
Baselayer,1,1,1,0.1
Bask Health,1,1,1,0.1
"Bell & Associates, Inc.",1,1,1,0.1
Bending Spoons,1,1,1,0.1
Between Technology,1,1,1,0.1
Birlasoft,1,1,1,0.1
BlackRock,1,1,1,0.1
Bombora,1,1,1,0.1
Booking.com,1,1,1,0.1
Boost Mobile,1,1,1,0.1
Booz Allen Hamilton,1,1,1,0.1
Bright Purple,1,1,1,0.1
BrightCHAMPS,1,1,1,0.1
Brooklinen,1,1,1,0.1
Brooksource,1,1,1,0.1
Buckingham Search,1,1,1,0.1
Bvlgari,1,1,1,0.1
Bytez,1,1,1,0.1
C6 Bank,1,1,1,0.1
CAVA,1,1,1,0.1
CCS Global Tech,1,1,1,0.1
CDK Global,1,1,1,0.1
CPP Investments | Investissements RPC,1,1,1,0.1
CSA,1,1,1,0.1
CXC,1,1,1,0.1
Cagwin & Dorward,1,1,1,0.1
Cairo Bank Uganda,1,1,1,0.1
California Department of Public Health,1,1,1,0.1
CalypsoAI,1,1,1,0.1
Camil Alimentos S/A,1,1,1,0.1
Camping World,1,1,1,0.1
"Cape Henry Associates, Acquired by JANUS Research Group",1,1,1,0.1
Capgemini Engineering,1,1,1,0.1
Capital Rx,1,1,1,0.1
"Capstone Logistics, LLC",1,1,1,0.1
Careem,1,1,1,0.1
Cargill,1,1,1,0.1
"Carollo Engineers, Inc.",1,1,1,0.1
Casey's,1,1,1,0.1
Caterpillar Inc.,1,1,1,0.1
Centric Software,1,1,1,0.1
Cerberus Capital Management,1,1,1,0.1
Charles River Laboratories,1,1,1,0.1
Charles Schwab,1,1,1,0.1
Chevron,1,1,1,0.1
Cielo,1,1,1,0.1
Circana,1,1,1,0.1
Circle K,1,1,1,0.1
Circles,1,1,1,0.1
Cititec,1,1,1,0.1
City of New York,1,1,1,0.1
Clear Capital,1,1,1,0.1
Cloudwick,1,1,1,0.1
"Clyde Companies, Inc.",1,1,1,0.1
Cogna Educação,1,1,1,0.1
Colibri Group,1,1,1,0.1
Collabera,1,1,1,0.1
Commonwealth Bank,1,1,1,0.1
Commonwealth of Kentucky,1,1,1,0.1
Como,1,1,1,0.1
Concord,1,1,1,0.1
ConglomerateIT,1,1,1,0.1
Connect Tech+Talent,1,1,1,0.1
ConnectedX Inc.,1,1,1,0.1
Connective Talent,1,1,1,0.1
Consulting Point,1,1,1,0.1
Conviva,1,1,1,0.1
CooperVision,1,1,1,0.1
Corporate Tools,1,1,1,0.1
Costco Wholesale,1,1,1,0.1
Covetus,1,1,1,0.1
Crisil,1,1,1,0.1
Crédit Agricole CIB,1,1,1,0.1
CyberCoders,1,1,1,0.1
D.A. Davidson Companies,1,1,1,0.1
DHL Express,1,1,1,0.1
DHL Supply Chain,1,1,1,0.1
Dario,1,1,1,0.1
Dasa,1,1,1,0.1
Datarisk,1,1,1,0.1
Delivery Hero,1,1,1,0.1
"Delphi-US, LLC - Peacemakers in the Talent War",1,1,1,0.1
Delta Air Lines,1,1,1,0.1
Delta Dental Ins.,1,1,1,0.1
Despegar,1,1,1,0.1
Direcional Engenharia,1,1,1,0.1
Discovery Limited,1,1,1,0.1
Disney Entertainment,1,1,1,0.1
Disney Music Group,1,1,1,0.1
Doing Things,1,1,1,0.1
EXL,1,1,1,0.1
Eden Smith Group,1,1,1,0.1
Edenred Brasil,1,1,1,0.1
Eli Lilly and Company,1,1,1,0.1
Endeavor,1,1,1,0.1
Engine,1,1,1,0.1
Enjins,1,1,1,0.1
Ensono,1,1,1,0.1
Envoy,1,1,1,0.1
Equifax,1,1,1,0.1
Equiliem,1,1,1,0.1
Equitable,1,1,1,0.1
Etiqa Insurance Singapore,1,1,1,0.1
Euro Information Developpements / EID,1,1,1,0.1
Eviden,1,1,1,0.1
Expansion,1,1,1,0.1
Experian Spanish Latam,1,1,1,0.1
FM Talent,1,1,1,0.1
FNB South Africa,1,1,1,0.1
Falabella,1,1,1,0.1
Finix,1,1,1,0.1
Fivecast,1,1,1,0.1
Fizz,1,1,1,0.1
Foodsmart,1,1,1,0.1
Forbes Advisor,1,1,1,0.1
Forest Lawn Memorial Parks and Mortuaries,1,1,1,0.1
FormFactor Inc.,1,1,1,0.1
Fractal,1,1,1,0.1
Frávega,1,1,1,0.1
FurtherAI,1,1,1,0.1
FutureCare Health,1,1,1,0.1
GSK,1,1,1,0.1
Games24x7,1,1,1,0.1
Godrej Agrovet Limited,1,1,1,0.1
