title,Total_Jobs,Companies,Locations,Job_Percentage
Data Analyst,150,123,98,14.63
Data Scientist,72,63,53,7.02
Data Engineer,58,45,39,5.66
"Data Scientist, Product Analytics",29,2,14,2.83
Machine Learning Engineer,21,19,17,2.05
"Data Engineer, Product Analytics",20,1,14,1.95
Senior Data Engineer,13,13,6,1.27
Senior Data Analyst,11,9,9,1.07
Junior Data Scientist,11,10,11,1.07
**** *******,9,5,8,0.88
AI/ML Engineer,9,5,8,0.88
Data Analyst II,7,4,6,0.68
Business Data Analyst,7,7,7,0.68
Junior Data Analyst,7,7,7,0.68
"**** ********, *********",7,1,6,0.68
**** ********,6,5,6,0.59
**** *********,6,6,6,0.59
Data Analyst I,6,6,5,0.59
Data Engineer I,5,4,5,0.49
"Data Products Analyst, YouTube",5,1,4,0.49
AI Automation Specialist,4,1,4,0.39
"Data Engineer I, SCOT - AIM",4,1,1,0.39
Data Engineer III,4,4,4,0.39
"Analyst, Analytics",4,4,2,0.39
Analytics Engineer,4,2,4,0.39
"Data Analyst, Global Partnerships & Content",4,1,3,0.39
Business Intelligence Analyst,3,3,3,0.29
Data Analyst Intern,3,3,3,0.29
Marketing Data Analyst,3,3,3,0.29
Junior Data Engineer,3,3,3,0.29
"ML Data Linguist, Alexa AI",3,1,2,0.29
Data Analyst - Commercial Marketing Data & Analytics,3,1,3,0.29
Principal Data Engineer,3,2,2,0.29
Associate Data Engineer,2,2,2,0.2
****** ************************* & ********************** *****,2,1,1,0.2
"Data Engineer II (Azure, Databricks, Python)",2,1,1,0.2
Data Analytics,2,1,2,0.2
******** **** *******,2,1,2,0.2
AI Data Scientist,2,1,2,0.2
** **** ********,2,2,1,0.2
"Data Engineer, Analytics (Technical Leadership)",2,1,2,0.2
Data Analyst - Construction,2,1,2,0.2
********* ** *****,2,2,1,0.2
"AI Researcher, Handshake AI",2,1,1,0.2
"Data Engineer, E-Commerce",2,1,2,0.2
Data Analyst (various levels open),2,1,1,0.2
Cientista de Dados (Júnior),2,1,1,0.2
Data Engineer I (Full Time) United States,2,1,2,0.2
Customer Insights Analyst,2,2,2,0.2
Data Scientist (Remote),2,2,2,0.2
Data Scientist I,2,1,2,0.2
"Data Scientist III, Product, Operations Data Science",2,1,2,0.2
Analytics Engineer (L5) - Ads,2,1,2,0.2
"Data Scientist, Product Analytics - Retail Analytics",2,1,2,0.2
"Data Scientist, Product, Sustainability",2,1,2,0.2
Department Manager,2,1,2,0.2
Data Insights and Analytics Engineer,2,1,2,0.2
Healthcare Data Analyst,2,2,2,0.2
Cyber Security Analyst,2,1,1,0.2
Actuaire - data scientist - Prévoyance (H/F),2,2,1,0.2
"Data Engineer, ITC",2,1,1,0.2
Senior C# Developer,2,1,2,0.2
DevOps Engineer - $20K Sign On Bonus - 23285,2,2,1,0.2
ML/AI Engineer with NLP Specialization - Founding Engineer,2,1,1,0.2
Applied Scientist,2,1,1,0.2
