location,Total_Jobs,Companies,Unique_Roles,Job_Percentage
United States,73,50,49,7.12
"New York, NY",65,43,44,6.34
"San Francisco, CA",49,29,29,4.78
"Bengaluru, Karnataka, India",39,28,28,3.8
"Remote, US",23,22,20,2.24
"Seattle, WA",15,8,13,1.46
"London, England, United Kingdom",15,11,12,1.46
"London Area, United Kingdom",14,13,8,1.37
"Gurugram, Haryana, India",13,10,8,1.27
"Los Angeles, CA",13,7,10,1.27
"Sunnyvale, CA",11,6,10,1.07
"Chicago, IL",11,10,7,1.07
Unknown Location,11,6,10,1.07
"Mountain View, CA",11,8,11,1.07
"Bellevue, WA",10,5,7,0.98
"*******, **",10,7,8,0.98
"Austin, TX",10,8,9,0.98
"São Paulo, São Paulo, Brazil",9,8,9,0.88
"Washington, DC",9,6,6,0.88
"California, United States",8,7,6,0.78
"New York, United States",8,7,8,0.78
"San Jose, CA",8,6,7,0.78
"Strasbourg, Grand Est, France",7,5,6,0.68
"Houston, TX",7,6,5,0.68
"Toronto, Ontario, Canada",7,5,7,0.68
"Pune, Maharashtra, India",7,6,6,0.68
"Mumbai, Maharashtra, India",7,7,7,0.68
"Boston, MA",7,6,4,0.68
"Dublin, County Dublin, Ireland",7,6,6,0.68
"Menlo Park, CA",6,1,5,0.59
"Los Gatos, CA",6,1,6,0.59
"Atlanta, GA",6,5,6,0.59
"*********, *********, *****",6,5,6,0.59
"Fremont, CA",6,1,4,0.59
"Hyderabad, Telangana, India",6,6,5,0.59
"Plano, TX",6,4,6,0.59
San Francisco Bay Area,5,5,4,0.49
New York City Metropolitan Area,5,4,5,0.49
"Arlington, VA",5,3,5,0.49
"Redmond, WA",5,3,5,0.49
"Santa Clara, CA, US",5,3,5,0.49
"*******, *******, ******",5,5,5,0.49
****** ******,4,4,4,0.39
"******, ****** ******, *******",4,3,4,0.39
"Singapore, Singapore",4,4,4,0.39
"Paris, Île-de-France, France",4,4,4,0.39
"Scottsdale, AZ",4,4,4,0.39
"Edmonton, Alberta, Canada",4,4,3,0.39
"Chennai, Tamil Nadu, India",4,3,3,0.39
"********, ******** ************ ******, *****",4,4,3,0.39
"Palo Alto, CA",4,4,4,0.39
"Augusta, GA",4,2,2,0.39
"Berlin, Berlin, Germany",4,4,4,0.39
Mumbai Metropolitan Region,4,4,4,0.39
"Indianapolis, IN",4,4,4,0.39
"Jakarta, Jakarta, Indonesia",4,3,3,0.39
"Dallas, TX",4,4,3,0.39
India,4,4,2,0.39
"Sunnyvale, CA, US",3,3,3,0.29
Washington DC-Baltimore Area,3,3,3,0.29
"Waltham, MA",3,2,3,0.29
"Amsterdam, North Holland, Netherlands",3,3,3,0.29
"Miami, FL",3,3,2,0.29
"Noida, Uttar Pradesh, India",3,2,2,0.29
"Nashville, TN",3,3,3,0.29
"Denver, CO",3,2,3,0.29
Brazil,3,3,3,0.29
"Burlingame, CA",3,1,2,0.29
"Gurgaon, Haryana, India",3,3,3,0.29
"Karnataka, India",3,2,2,0.29
"Deerfield, IL",3,1,2,0.29
"Dearborn, MI",3,1,3,0.29
"Florida, United States",3,3,3,0.29
Greater Kolkata Area,3,2,3,0.29
"Charlotte, NC",3,3,3,0.29
******* ******* ****,3,1,2,0.29
"Texas, United States",3,3,2,0.29
"Troy, MI",2,2,2,0.2
"Tampa, FL",2,2,2,0.2
"Washington, DC, US",2,1,1,0.2
"Warsaw, Mazowieckie, Poland",2,2,2,0.2
"***** ****, **",2,1,2,0.2
"Santiago, Santiago Metropolitan Region, Chile",2,2,2,0.2
"Santa Monica, CA",2,2,2,0.2
"Sant Cugat del Vallès, Catalonia, Spain",2,2,2,0.2
Canada,2,2,2,0.2
Spain,2,2,2,0.2
"South San Francisco, CA",2,2,2,0.2
"Sofia, Sofia City, Bulgaria",2,1,2,0.2
"San Jose, CA, US",2,2,2,0.2
"San Francisco, CA, US",2,2,2,0.2
"San Bruno, CA",2,1,2,0.2
"Stockholm, Stockholm County, Sweden",2,1,2,0.2
"Osasco, São Paulo, Brazil",2,2,2,0.2
"Redwood City, CA, US",2,1,2,0.2
"Raleigh, NC",2,2,2,0.2
"Puchong, Selangor, Malaysia",2,1,2,0.2
"Plantation, FL",2,2,2,0.2
"Pittsburgh, PA",2,2,2,0.2
Philippines,2,2,2,0.2
"Concord, CA, US",2,2,2,0.2
"Brasília, Federal District, Brazil",2,1,1,0.2
"Omaha, NE",2,2,2,0.2
"North Carolina, United States",2,2,2,0.2
"Newark, CA",2,2,2,0.2
"New York, NY, US",2,1,2,0.2
"New Jersey, United States",2,2,2,0.2
"Navi Mumbai, Maharashtra, India",2,1,2,0.2
"Bangalore Urban, Karnataka, India",2,1,2,0.2
Lisbon Metropolitan Area,2,2,2,0.2
"Mississauga, Ontario, Canada",2,2,2,0.2
"Minneapolis, MN",2,2,2,0.2
"Mexico City, Mexico",2,2,2,0.2
"Merrifield, VA",2,1,1,0.2
"Livermore, CA, US",2,1,2,0.2
Des Moines Metropolitan Area,2,2,2,0.2
"Frisco, TX",2,1,1,0.2
"Alpharetta, GA",2,2,2,0.2
"Bengaluru East, Karnataka, India",2,2,2,0.2
"Barcelona, Catalonia, Spain",2,2,2,0.2
"Leeds, England, UK",2,1,1,0.2
"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",2,2,2,0.2
"Kuala Lumpur City, Federal Territory of Kuala Lumpur, Malaysia",2,1,1,0.2
"Katy, TX",2,2,2,0.2
"Jersey City, NJ",2,2,2,0.2
"Irvine, CA",2,2,2,0.2
"Indaiatuba, São Paulo, Brazil",2,1,2,0.2
"Lisboa, Lisbon, Portugal",2,2,2,0.2
"Lima, Peru",2,2,1,0.2
"Austin, TX, US",2,2,2,0.2
"Calgary, Alberta, Canada",2,2,2,0.2
"Cairo, Egypt",2,1,2,0.2
Greater Bengaluru Area,2,2,2,0.2
"Burbank, CA",2,2,2,0.2
"Buenos Aires, Buenos Aires Province, Argentina",2,2,2,0.2
"Guwahati, Assam, India",2,1,2,0.2
"********, *******, *****",2,1,2,0.2
"********, **",2,2,2,0.2
"*********, **",2,2,2,0.2
"**********, **",2,1,1,0.2
"********* *****, *********, *****",2,2,2,0.2
"******, **",2,2,2,0.2
"Adelaide, South Australia, Australia",2,2,2,0.2
"******, *******, ****** *******",2,2,2,0.2
"*** ****, **",2,1,2,0.2
"*** *******, **",2,2,2,0.2
"Valencia, Valencian Community, Spain",1,1,1,0.1
Utica-Rome Area,1,1,1,0.1
"Universal City, CA",1,1,1,0.1
"******, ***** ******",1,1,1,0.1
"******, ***********, *****",1,1,1,0.1
"*****-****-*’***ô**, Î**-**-******, ******",1,1,1,0.1
"****, ******, *****",1,1,1,0.1
"***à, *********, *****",1,1,1,0.1
"*ã* *****, *ã* *****, ******",1,1,1,0.1
"Abu Dhabi Emirate, United Arab Emirates",1,1,1,0.1
"Agoura Hills, CA",1,1,1,0.1
"Sydney, New South Wales, Australia",1,1,1,0.1
"Wilmington, DE, US",1,1,1,0.1
"**** ***** *** ****è*, *********, *****",1,1,1,0.1
"Shah Alam, Selangor, Malaysia",1,1,1,0.1
"Silverstone, England, United Kingdom",1,1,1,0.1
"****** ****, ******",1,1,1,0.1
******** *****,1,1,1,0.1
********** **-********* ****,1,1,1,0.1
"*********, *****",1,1,1,0.1
"Viladecans, Catalonia, Spain",1,1,1,0.1
"Virginia Beach, VA, US",1,1,1,0.1
"Florianópolis, Santa Catarina, Brazil",1,1,1,0.1
"Fort Belvoir, VA, US",1,1,1,0.1
"Fort Meade, MD, US",1,1,1,0.1
"Fortaleza, Ceará, Brazil",1,1,1,0.1
"Foster City, CA",1,1,1,0.1
"Guadalajara, Jalisco, Mexico",1,1,1,0.1
"Gulbarga, Karnataka, India",1,1,1,0.1
"Hartford, CT",1,1,1,0.1
"Herndon, VA",1,1,1,0.1
"Holyoke, MA",1,1,1,0.1
"Hong Kong, Hong Kong SAR",1,1,1,0.1
"Hongkou District, Shanghai, China",1,1,1,0.1
"Huntley, IL",1,1,1,0.1
"Huntsville, AL, US",1,1,1,0.1
"Gaydon, England, United Kingdom",1,1,1,0.1
"Geneva, Switzerland",1,1,1,0.1
"Georgia, United States",1,1,1,0.1
"Glendale, CA",1,1,1,0.1
"Goiânia, Goiás, Brazil",1,1,1,0.1
"Great Burgh, England, United Kingdom",1,1,1,0.1
Greater Tampa Bay Area,1,1,1,0.1
Greece,1,1,1,0.1
"Bremerton, WA, US",1,1,1,0.1
"Brighton, MI",1,1,1,0.1
"Bristol, England, United Kingdom",1,1,1,0.1
"Brooklyn, NY",1,1,1,0.1
